number,value,datetime_start,datetime_complete,duration,params_depth,params_l2_leaf_reg,params_lags,params_learning_rate,params_n_estimators,params_subsample,state
107,0.0977547036595685,2026-07-06 04:00:47.251101,2026-07-06 04:00:51.201609,0 days 00:00:03.950508,8,1.2887851750408394,12,0.009888159022269982,203,0.8575493437471432,COMPLETE
108,0.09515513880584558,2026-07-06 04:00:51.271964,2026-07-06 04:00:56.658969,0 days 00:00:05.387005,8,1.1798601054791964,12,0.0047394356555403964,315,0.8047821433072303,COMPLETE
109,0.1180247869761743,2026-07-06 04:00:56.729471,2026-07-06 04:01:07.467315,0 days 00:00:10.737844,5,1.2245376902238199,36,0.005858119623420023,1105,0.5877384951951583,COMPLETE
110,0.09910191039008612,2026-07-06 04:01:07.552942,2026-07-06 04:01:10.160933,0 days 00:00:02.607991,3,29.332992264010485,18,0.010644998325305273,484,0.5442899227617575,COMPLETE
111,0.12605625348436184,2026-07-06 04:01:10.233689,2026-07-06 04:01:21.190770,0 days 00:00:10.957081,6,5.7769079423200465,24,0.03903663063121933,979,0.577403000625732,COMPLETE
112,0.12014279052604332,2026-07-06 04:01:21.276999,2026-07-06 04:01:32.332313,0 days 00:00:11.055314,6,6.808539850856633,36,0.05173009659820845,831,0.9340751608621375,COMPLETE
113,0.09160610828053453,2026-07-06 04:01:32.414300,2026-07-06 04:01:35.774455,0 days 00:00:03.360155,9,1.6126651627402897,12,0.0072380185061617554,108,0.6662372464904495,COMPLETE
114,0.094334661404744,2026-07-06 04:01:35.845272,2026-07-06 04:01:39.147077,0 days 00:00:03.301805,8,3.1931588367037618,18,0.003358762236033753,131,0.684203259552622,COMPLETE
115,0.09533497791136006,2026-07-06 04:01:39.218943,2026-07-06 04:01:44.298557,0 days 00:00:05.079614,7,21.36105152662839,18,0.012828143567813612,349,0.6250828243520934,COMPLETE
116,0.09111232586192282,2026-07-06 04:01:44.377904,2026-07-06 04:01:49.127880,0 days 00:00:04.749976,8,1.277869925960845,12,0.003996324182463296,256,0.6618580353452276,COMPLETE
117,0.09154173408805014,2026-07-06 04:01:49.203499,2026-07-06 04:01:52.216527,0 days 00:00:03.013028,8,1.4819746830015554,12,0.003132938291258887,143,0.7262853683139161,COMPLETE
