EB_level,priority_date,visa_bulletin_date,table_type,raw_value,status,visa_wait_time,raw_category
EB5_UNRESERVED,2025-10-01,2025-10-01 00:00:00,final_action,C,C,0.0,"5th Unreserved
(including C5, T5, I5, R5, NU, RU)"
EB1,2025-09-01,2025-09-01 00:00:00,dates_for_filing,C,C,0.0,1st
EB2,2023-11-15,2025-09-01 00:00:00,dates_for_filing,15NOV23,F,1.7960301163586585,2nd
EB3,2023-05-01,2025-09-01 00:00:00,dates_for_filing,01MAY23,F,2.3381245722108144,3rd
EB3_OW,2021-07-22,2025-09-01 00:00:00,dates_for_filing,22JUL21,F,4.112251882272417,Other Workers
EB4,2021-02-01,2025-09-01 00:00:00,dates_for_filing,01FEB21,F,4.5804243668720055,4th
EB4_RW,2021-02-01,2025-09-01 00:00:00,dates_for_filing,01FEB21,F,4.5804243668720055,Certain Religious Workers
EB5_HIGHUNEMP,2025-09-01,2025-09-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(High Unemployment: NH, RH - 10%)"
EB5_INFRA,2025-09-01,2025-09-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Infrastructure: RI - 2%)"
EB5_RURAL,2025-09-01,2025-09-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Rural: NR, RR - 20%)"
EB5_UNRESERVED,2025-09-01,2025-09-01 00:00:00,dates_for_filing,C,C,0.0,"5th Unreserved
(including C5, T5, I5, R5)"
EB1,2025-09-01,2025-09-01 00:00:00,final_action,C,C,0.0,1st
EB2,2023-09-01,2025-09-01 00:00:00,final_action,01SEP23,F,2.001368925393566,2nd
EB3,2023-02-08,2025-09-01 00:00:00,final_action,08FEB23,F,2.5626283367556466,3rd
EB3_OW,2021-07-08,2025-09-01 00:00:00,final_action,08JUL21,F,4.1505817932922655,Other Workers
EB4,,2025-09-01 00:00:00,final_action,U,U,,4th
EB4_RW,,2025-09-01 00:00:00,final_action,U,U,,Certain Religious Workers
EB5_HIGHUNEMP,2025-09-01,2025-09-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
High Unemployment (10%, including NH, RH)"
EB5_INFRA,2025-09-01,2025-09-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Infrastructure (2%, including RI)"
EB5_RURAL,2025-09-01,2025-09-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Rural (20%, including NR, RR)"
EB5_UNRESERVED,2025-09-01,2025-09-01 00:00:00,final_action,C,C,0.0,"5th Unreserved
(including C5, T5, I5, R5, NU, RU)"
EB1,2025-08-01,2025-08-01 00:00:00,dates_for_filing,C,C,0.0,1st
EB2,2023-11-15,2025-08-01 00:00:00,dates_for_filing,15NOV23,F,1.7111567419575633,2nd
EB3,2023-05-01,2025-08-01 00:00:00,dates_for_filing,01MAY23,F,2.2532511978097194,3rd
EB3_OW,2021-07-22,2025-08-01 00:00:00,dates_for_filing,22JUL21,F,4.027378507871321,Other Workers
EB4,2021-02-01,2025-08-01 00:00:00,dates_for_filing,01FEB21,F,4.4955509924709105,4th
EB4_RW,2021-02-01,2025-08-01 00:00:00,dates_for_filing,01FEB21,F,4.4955509924709105,Certain Religious Workers
EB5_HIGHUNEMP,2025-08-01,2025-08-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(High Unemployment: NH, RH - 10%)"
EB5_INFRA,2025-08-01,2025-08-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Infrastructure: RI - 2%)"
EB5_RURAL,2025-08-01,2025-08-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Rural: NR, RR - 20%)"
EB5_UNRESERVED,2025-08-01,2025-08-01 00:00:00,dates_for_filing,C,C,0.0,"5th Unreserved
(including C5, T5, I5, R5)"
EB1,2025-08-01,2025-08-01 00:00:00,final_action,C,C,0.0,1st
EB2,2023-09-01,2025-08-01 00:00:00,final_action,01SEP23,F,1.9164955509924708,2nd
EB3,2023-02-08,2025-08-01 00:00:00,final_action,08FEB23,F,2.4777549623545516,3rd
EB3_OW,2021-07-08,2025-08-01 00:00:00,final_action,08JUL21,F,4.0657084188911705,Other Workers
EB4,,2025-08-01 00:00:00,final_action,U,U,,4th
